interest_rate,fico_range,amount_requested,amount_funded_by_investors,loan_length
14.72,660-664,4750,4750,36
6.62,770-774,14400,14400,36
23.76,660-664,30000,30000,60
12.12,715-719,13475,13475,36
19.05,675-679,10000,10000,36
6.62,740-744,12000,12000,36
16.89,695-699,6000,6000,60
6.54,725-729,9500,6500,36
10.38,780-784,12000,11875,60
8.9,705-709,5000,5000,36
8.9,745-749,3600,3600,36
14.27,735-739,27000,26993.89,60
14.27,665-669,10000,10000,36
13.11,670-674,5450,5450,36
15.28,700-704,16000,13613.86,60
17.27,670-674,9750,9750,36
7.51,785-789,30000,30000,36
12.12,705-709,14000,13975,36
6.62,740-744,8500,8500,36
7.9,745-749,14400,14400,36
7.14,765-769,8000,8000,36
13.11,680-684,12000,12000,36
13.11,695-699,10400,10350,36
18.75,695-699,21000,21000,60
11.83,705-709,6000,5925,36
13.67,730-734,10800,10800,60
14.33,690-694,2100,2100,36
6.03,770-774,4000,4000,36
7.62,725-729,3500,3500,36
12.53,725-729,24250,23811.24,36
14.33,715-719,19000,19000,60
15.33,670-674,10500,10477.85,36
18.49,670-674,2500,2500,36
14.59,690-694,16000,16000,36
13.75,665-669,3000,1300,36
5.42,780-784,10000,10000,36
14.09,685-689,7100,7100,36
9.32,780-784,12500,12425,36
13.99,675-679,1700,1700,36
11.14,670-674,4000,4000,36
17.99,675-679,18225,18225,36
16.29,735-739,30000,30000,60
6.54,730-734,10000,10000,36
7.9,720-724,6000,6000,36
12.12,675-679,6000,6000,36
15.8,675-679,6000,6000,36
17.77,665-669,7000,7000,36
15.31,670-674,10000,10000,36
12.73,675-679,3250,3250,36
19.72,685-689,30000,29950,60
11.11,700-704,21000,21000,36
7.62,735-739,11000,11000,36
7.14,750-754,5500,5400,36
7.9,770-774,15000,15000,36
19.91,670-674,20000,17890.7,60
8.07,760-764,7200,6250,36
18.64,675-679,4000,4000,60
8.9,730-734,20000,20000,36
12.12,705-709,15000,15000,36
11.83,730-734,8000,7825,36
19.74,660-664,15000,14900,60
11.14,685-689,8000,8000,36
14.33,710-714,20675,20675,36
15.31,695-699,30000,30000,60
7.66,740-744,12000,11875,36
9.99,695-699,5000,5000,36
8.9,760-764,4750,4750,36
12.12,680-684,6500,6500,36
10.59,720-724,21600,20550,36
12.84,670-674,1900,1900,36
7.9,710-714,6000,6000,36
7.62,720-724,8500,8500,36
12.12,685-689,9250,9250,36
13.49,675-679,1875,1875,36
12.61,675-679,2500,2450,36
13.47,690-694,10000,10000,36
15.23,730-734,25000,25000,60
13.99,710-714,5000,5000,60
13.61,695-699,6000,5996.63,60
14.22,680-684,10000,10000,36
6.62,730-734,5375,5325,36
16.32,700-704,19000,18898.03,60
11.89,695-699,5500,5500,36
10.74,700-704,10000,10000,36
13.11,740-744,8800,8800,60
15.95,705-709,9500,9475,60
5.79,765-769,12000,9294.21,36
11.71,725-729,16500,16500,36
11.71,755-759,25000,24875,60
12.12,700-704,24000,24000,36
10.36,690-694,7000,6875,36
18.25,660-664,1200,1200,36
13.11,710-714,24175,24175,36
7.9,720-724,2800,2800,36
11.71,705-709,4000,4000,60
12.12,665-669,10000,10000,36
10.16,710-714,7125,7125,36
8.32,750-754,10000,9325,36
13.11,695-699,10000,10000,36
15.31,670-674,4400,4398.89,36
12.12,710-714,10000,10000,36
12.12,700-704,9450,9450,36
7.62,765-769,3500,3500,36
12.69,725-729,24000,24000,60
10.99,700-704,11750,11750,36
10.16,765-769,30000,24800,36
18.75,665-669,12000,12000,36
14.09,695-699,13000,13000,36
13.48,710-714,5000,5000,36
14.33,700-704,15000,15000,36
13.43,745-749,16000,15975,60
15.23,705-709,12000,11975,60
14.33,675-679,10050,10050,36
15.23,760-764,35000,25850,60
22.95,685-689,30000,30000,60
12.18,740-744,24250,24175,36
6.03,790-794,16000,16000,36
15.05,675-679,9000,8996.01,36
11.12,750-754,17000,16750,60
7.75,760-764,5400,200,36
12.12,690-694,12000,12000,36
17.27,670-674,2000,2000,36
12.69,710-714,24000,24000,36
22.47,660-664,16800,16800,60
17.27,660-664,3000,3000,36
12.69,665-669,3500,3500,36
7.66,725-729,4000,3910.45,36
16.29,695-699,16000,15975,36
18.25,685-689,8800,8800,60
7.9,755-759,19725,19725,36
15.96,680-684,19750,19725,36
20.77,670-674,19750,19725,60
16.32,695-699,10000,10000,36
8.63,730-734,5000,0,36
6.62,760-764,9600,9600,36
21.49,705-709,30000,29975,60
12.42,685-689,7000,7000,36
10.74,720-724,8400,8400,36
14.33,675-679,5600,5600,36
7.88,790-794,20000,13175,60
12.12,720-724,15000,15000,36
13.23,735-739,17500,17500,60
12.12,790-794,32400,32400,60
12.12,685-689,12000,11975,36
14.09,680-684,10000,9875,36
7.88,745-749,12300,12275,36
11.14,690-694,15000,15000,36
11.97,685-689,5000,4446.5,36
13.11,695-699,20000,20000,36
16.29,695-699,21725,21725,36
10,735-739,5000,5000,60
8.9,715-719,10300,10300,36
20.49,660-664,14400,14400,36
16.49,680-684,15000,15000,36
19.72,690-694,35000,35000,60
15.8,675-679,7000,7000,36
15.96,695-699,12500,12500,60
12.12,705-709,18000,18000,36
11.89,695-699,6000,6000,36
8.9,725-729,16000,16000,36
23.28,675-679,35000,34950,60
6.62,735-739,10000,10000,36
24.7,675-679,21000,21000,60
12.12,705-709,8000,8000,36
20.3,695-699,33600,32058.53,60
14.74,675-679,11050,10878.55,36
15.31,695-699,16000,16000,36
14.65,730-734,15000,15000,60
14.33,685-689,12000,12000,36
14.96,670-674,4000,3975,36
17.99,660-664,12000,12000,36
10.36,690-694,12000,12000,36
5.42,785-789,7500,7500,36
7.88,785-789,24000,23568.65,36
15.31,690-694,16000,16000,36
21.48,695-699,12200,12200,60
10.16,710-714,12000,12000,36
15.31,665-669,12000,12000,36
5.99,765-769,9800,9775,36
14.72,670-674,7000,7000,36
11.71,720-724,10000,10000,36
13.11,710-714,10000,10000,36
11.99,745-749,17000,16975,60
19.22,675-679,18000,17975,60
11.97,680-684,15600,6575,36
12.41,720-724,16750,9445.58,36
12.12,680-684,7200,7200,36
12.99,690-694,1500,1500,36
12.12,685-689,13600,13600,36
24.33,670-674,30000,30000,60
17.77,680-684,10000,10000,36
10.25,730-734,10000,9850,36
11.71,695-699,10000,10000,36
13.16,700-704,7000,6975,36
7.9,760-764,4700,4700,36
9.91,720-724,21200,21200,36
19.05,665-669,15000,14875,36
14.17,680-684,2800,2800,36
13.11,700-704,15000,14875,36
11.14,735-739,24925,24925,60
11.71,705-709,15000,15000,36
6.03,780-784,9100,9100,36
12.12,690-694,12000,11950,36
23.28,660-664,16250,16250,60
18.49,715-719,25000,25000,60
15.31,660-664,30000,30000,36
11.59,680-684,4800,544.89,36
12.12,680-684,3000,3000,36
12.18,715-719,17000,16650,36
17.56,680-684,12000,12000,36
19.05,670-674,27575,27575,60
8.9,715-719,5000,5000,36
13.11,680-684,9000,9000,36
13.23,730-734,12000,11650,60
7.9,760-764,16500,16500,36
11.89,745-749,18000,13003.66,36
18.64,720-724,30000,29975,60
20.5,705-709,30000,29975,60
13.16,680-684,10000,7945.17,36
15.8,675-679,12000,12000,36
10.16,710-714,10000,10000,36
14.65,670-674,3800,3800,36
10.16,715-719,18775,18775,36
17.27,670-674,7200,7200,36
13.99,720-724,25450,25425,60
11.12,705-709,6000,5975,36
5.99,760-764,8000,8000,36
14.27,675-679,10000,10000,36
14.65,695-699,4800,4800,60
12.12,675-679,7000,7000,36
7.9,720-724,9975,9975,36
22.95,680-684,30075,30050,60
10.59,710-714,10000,10000,36
12.12,750-754,30000,30000,60
17.27,695-699,16000,16000,60
18.49,675-679,21200,21175,36
7.51,805-809,6500,6500,36
9.76,725-729,19000,19000,36
11.89,720-724,6500,5329.76,36
21.49,685-689,1500,1500,36
23.63,660-664,24000,24000,60
18.75,675-679,20000,20000,36
13.49,695-699,10000,10000,36
9.2,730-734,10000,6350,36
11.14,795-799,10000,10000,60
19.91,670-674,9000,9000,60
11.36,685-689,4200,4200,36
17.77,665-669,6625,6625,36
15.96,680-684,15000,15000,36
14.27,670-674,3825,3825,36
9.25,700-704,4200,4200,36
8.9,725-729,17325,17325,36
18.49,720-724,25000,25000,60
17.49,695-699,8000,7925,36
6.62,765-769,12000,12000,36
6.03,765-769,5000,5000,36
9.99,750-754,14000,14000,36
22.78,660-664,30000,30000,36
8.9,765-769,10750,10750,36
12.99,740-744,24000,23772.15,60
15.31,670-674,10000,10000,36
17.27,675-679,16550,16550,36
5.99,740-744,3300,3300,36
14.09,675-679,8000,8000,36
16.89,745-749,35000,32117,60
10.65,720-724,14000,14000,36
8.9,755-759,18000,18000,60
13.49,720-724,10000,9999.71,60
16.77,670-674,3600,3600,36
5.79,765-769,12000,10928.83,36
20.49,660-664,4200,4200,60
14.61,665-669,4200,4200,36
21.74,660-664,11200,11200,60
15.99,675-679,15000,15000,36
11.99,755-759,12100,12100,36
13.98,715-719,14000,13975,60
5.99,770-774,4900,4900,36
12.12,715-719,19200,19200,36
9.76,705-709,8500,8500,36
7.88,760-764,12000,11875,36
19.22,680-684,21000,21000,60
17.99,715-719,35000,24868.47,60
12.12,685-689,10000,10000,36
17.99,685-689,10000,9975,60
18.49,660-664,12000,12000,36
11.99,720-724,12000,10325,60
6.76,755-759,4000,3945.6,36
19.72,675-679,20000,20000,60
13.99,695-699,24375,24375,36
9.07,750-754,7500,4538.17,36
10.74,700-704,9550,9550,36
20.5,690-694,25000,24975,60
12.87,690-694,3600,3600,36
11.11,700-704,10000,10000,36
6.62,790-794,20000,20000,36
10.74,740-744,35000,35000,36
12.12,710-714,12000,12000,36
14.82,655-659,5600,2025.01,36
7.9,750-754,20000,20000,36
10.16,710-714,18000,18000,36
7.51,765-769,8000,7575,36
9.76,705-709,4000,4000,36
7.9,715-719,6000,5975,36
17.77,670-674,15000,15000,36
13.67,745-749,20950,20950,60
7.9,725-729,10625,10625,36
10.16,755-759,9000,9000,60
11.48,745-749,20000,11800,36
13.11,715-719,25800,25800,36
6.62,760-764,10000,10000,36
11.58,715-719,12000,7595.31,36
20.49,660-664,18650,18650,36
12.12,710-714,10000,10000,36
16.77,670-674,14000,14000,36
14.09,695-699,14000,14000,36
17.56,670-674,14400,13714.83,60
14.33,690-694,8000,8000,36
11.83,720-724,12000,11925,36
13.11,705-709,24375,24375,36
7.9,710-714,3500,3500,36
13.67,675-679,7900,7900,36
12.12,695-699,10000,10000,36
17.58,725-729,10400,10375,60
7.14,755-759,7500,7450,36
14.33,720-724,18800,18800,60
13.11,695-699,21000,21000,36
6.62,750-754,8500,8500,36
11.71,705-709,13200,13200,36
19.99,710-714,3000,3000,60
22.47,670-674,19200,19200,60
18.64,675-679,13600,13600,60
7.88,730-734,6000,6000,36
14.65,705-709,22000,22000,60
15.31,665-669,12000,12000,36
18.39,675-679,5000,5000,36
7.9,770-774,31050,30750,36
7.9,730-734,10000,10000,36
14.09,700-704,10000,10000,36
7.9,740-744,13250,13250,36
14.27,695-699,5000,5000,36
13.11,710-714,14675,14675,36
10,745-749,7000,6875,36
17.77,665-669,6000,6000,36
12.69,735-739,20000,20000,60
12.12,695-699,7000,7000,36
12.12,695-699,1500,1500,36
18.49,705-709,35000,35000,36
18.25,695-699,20000,20000,60
14.27,710-714,21000,21000,60
6.03,755-759,12500,12475,36
15.01,695-699,25000,2125,36
14.46,680-684,9600,9600,60
13.85,675-679,8100,8100,36
14.65,690-694,15000,15000,36
16.32,685-689,15000,14950,60
11.14,695-699,11000,11000,36
14.17,670-674,9600,9600,36
13.11,775-779,25000,25000,36
13.11,685-689,14550,14550,36
10.74,700-704,10000,10000,36
11.14,705-709,24000,24000,60
10.65,745-749,20000,19950,60
11.49,725-729,25000,24975,36
17.77,670-674,7200,7200,36
14.33,675-679,5000,5000,36
16.49,710-714,20000,19975,60
7.91,730-734,5600,5600,36
7.9,750-754,20000,20000,36
8.9,715-719,6000,6000,36
17.49,670-674,3200,3200,60
14.09,710-714,24375,24375,36
12.12,715-719,25225,25225,36
15.95,700-704,20000,19900,60
17.77,710-714,30225,30225,36
7.4,770-774,7000,7000,36
15.65,735-739,35000,14869.55,60
9.76,725-729,7575,7575,36
13.11,695-699,15000,15000,36
15.81,725-729,24000,24000,60
15.31,675-679,19800,19775,60
10.75,755-759,9250,6475,60
15.96,660-664,6000,6000,36
15.31,685-689,3500,3500,36
14.82,645-649,7200,5675,36
6.03,760-764,12000,12000,36
7.9,730-734,20000,20000,36
12.12,685-689,3900,3900,36
19.22,680-684,16000,16000,60
15.99,675-679,15000,15000,36
20.5,695-699,28200,28200,60
13.49,705-709,15000,14975,36
13.99,675-679,7400,7400,36
10.59,730-734,15000,15000,36
5.99,765-769,4500,4500,36
14.09,680-684,3000,3000,36
14.27,675-679,9000,9000,36
8.9,705-709,4000,4000,36
17.27,665-669,10000,10000,36
15.99,690-694,6400,6400,60
10.16,715-719,4325,4325,36
13.11,695-699,12000,12000,36
15.31,665-669,10000,10000,36
10.16,720-724,12000,12000,36
12.12,690-694,6000,6000,36
13.49,700-704,2200,2200,36
14.27,670-674,5000,5000,36
19.69,665-669,12000,12000,60
7.9,705-709,3000,3000,36
21.49,700-704,30000,30000,60
12.12,695-699,10800,10800,36
18.25,660-664,10500,10500,36
6.62,755-759,10000,10000,36
12.12,715-719,24000,23950,36
14.09,690-694,16000,16000,36
13.99,705-709,15000,15000,36
21.98,660-664,9500,9500,36
19.05,690-694,35000,35000,36
7.9,725-729,5000,5000,36
11.71,700-704,15000,15000,36
15.31,675-679,5000,5000,36
11.14,775-779,19000,18975,36
15.8,680-684,11625,11625,36
7.62,750-754,25000,25000,36
12.69,685-689,8000,8000,36
8.59,760-764,9800,9675,36
8,765-769,6000,5975,36
12.42,705-709,10200,10200,36
6.62,760-764,10500,10500,36
7.9,725-729,5000,5000,36
7.9,810-814,17500,17500,36
19.03,685-689,4000,4000,36
12.12,715-719,22000,22000,36
5.79,750-754,5000,4900,36
16.29,685-689,8000,8000,36
18.49,700-704,19125,19125,60
12.12,700-704,16000,16000,36
14.59,660-664,4500,4500,36
22.45,665-669,5800,5800,60
14.7,645-649,10000,525,36
18.75,680-684,16750,16750,36
12.12,695-699,3600,3600,36
15.62,670-674,10000,10000,36
5.42,800-804,6000,6000,36
7.62,735-739,10000,10000,36
17.77,685-689,10000,10000,36
7.49,745-749,5000,5000,36
23.76,665-669,35000,34950,60
7.9,715-719,7000,7000,36
10.2,800-804,3000,1647.62,36
15.62,695-699,28000,28000,36
15.58,690-694,15200,6800,60
14.65,710-714,15775,15775,36
10.59,765-769,30000,22425,36
9.91,710-714,3000,3000,36
18.49,670-674,15350,15350,36
9.76,785-789,26500,26500,60
6,695-699,6400,6400,60
14.33,695-699,13200,13200,36
11.49,705-709,12000,12000,36
6.03,800-804,4000,4000,36
6.62,730-734,2500,2500,36
18.55,700-704,28000,27925,36
8.9,730-734,9000,8975,36
6.03,750-754,6600,6600,36
17.27,705-709,27050,27050,60
15.99,675-679,4800,4800,36
10.16,710-714,7550,7550,36
7.74,775-779,10000,10000,36
11.26,730-734,12500,12275,36
19.05,660-664,27575,27575,36
13.11,720-724,20000,20000,36
14.61,730-734,15000,14900,36
8.9,730-734,18000,18000,36
8.9,785-789,5400,5375,36
15.81,695-699,23000,22950,36
5.79,770-774,8000,7950,36
12.69,705-709,3000,2950,36
6.92,780-784,7200,7200,36
15.8,670-674,15350,15350,36
12.12,685-689,6000,6000,36
13.16,755-759,15000,8081.65,36
12.68,690-694,5000,5000,60
6.76,760-764,2575,2575,36
13.67,670-674,1800,1800,36
14.09,700-704,10000,10000,36
10.74,705-709,7750,7750,36
16.29,660-664,12000,12000,36
6.03,780-784,10000,10000,36
13.67,665-669,4950,4950,36
6.03,760-764,8400,8350,36
12.12,695-699,3500,3500,36
16.29,665-669,12000,12000,36
22.47,660-664,18000,18000,60
12.99,725-729,14675,14650,60
14.09,675-679,13000,13000,36
13.11,695-699,15000,15000,36
9.32,755-759,8250,8205.63,36
14.09,685-689,6900,6900,36
20.49,685-689,35000,35000,60
10.62,750-754,25000,23995.24,36
11.14,705-709,9600,9600,36
6.62,755-759,9000,8975,36
8.9,740-744,6500,6500,36
11.14,720-724,1750,1750,36
5.42,750-754,5000,5000,36
15.8,670-674,6000,6000,36
14.09,700-704,25000,25000,36
14.33,690-694,13000,13000,36
7.9,720-724,5875,5875,36
16.29,660-664,5000,5000,36
16.45,680-684,16000,7925,60
9.62,730-734,12000,12000,60
12.12,720-724,35000,35000,36
5.79,735-739,4800,4775,36
11.11,680-684,6500,6500,36
13.06,735-739,25000,25000,36
7.62,785-789,1000,1000,36
13.48,700-704,16000,16000,36
15.13,645-649,7675,2275,36
8.9,720-724,13600,13600,36
15.31,680-684,12000,12000,36
10.37,750-754,15000,15000,36
18.49,675-679,7125,7125,36
21.67,675-679,35000,34977.35,60
13.11,725-729,11575,11575,60
7.4,780-784,5000,5000,36
7.62,735-739,5000,5000,36
13.24,660-664,5000,527.49,36
7.9,720-724,7000,7000,36
14.5,715-719,20000,16755.89,36
6.92,735-739,7000,7000,36
10.25,760-764,20000,19900,36
7.9,725-729,6000,6000,36
7.66,735-739,14000,14000,36
19.05,685-689,30000,30000,36
17.58,660-664,18225,18200,36
7.29,720-724,12000,12000,36
12.12,690-694,10000,10000,36
14.91,675-679,16300,16275,36
13.87,670-674,11000,2116.76,36
15.58,785-789,25000,20850,60
12.12,670-674,24000,24000,36
7.49,715-719,6000,6000,36
11.49,765-769,10000,9975,60
8.9,730-734,2000,2000,36
11.14,690-694,6625,6600,36
16.71,660-664,20000,6350.01,36
9.63,745-749,12000,11925,36
7.29,765-769,4200,4200,36
13.11,715-719,6950,6875,36
7.51,765-769,6000,6000,36
10.99,700-704,8400,8400,36
7.88,725-729,5000,5000,36
10.16,695-699,4750,4750,36
10.75,785-789,15000,14925,60
16.29,670-674,12000,12000,36
7.68,790-794,4000,0,36
12.61,725-729,12800,12700,60
8.9,795-799,12000,11950,60
13.49,670-674,9425,9425,36
12.42,730-734,28000,28000,36
21,710-714,30000,29975,60
18.39,660-664,9600,9600,36
12.84,695-699,7800,7242.07,36
10.65,720-724,12000,12000,36
15.31,675-679,9600,9600,36
10.62,705-709,6000,6000,36
11.11,720-724,7500,7500,60
6.03,760-764,7000,6950,36
11.71,685-689,10000,10000,36
12.61,665-669,3200,2799.99,36
10.38,725-729,13000,12850,36
24.7,660-664,35000,35000,60
6.62,710-714,20800,20775,36
16.29,660-664,1600,1600,36
6.03,750-754,10050,9900,36
17.99,670-674,8000,7997.85,36
12.12,715-719,16000,16000,36
7.9,720-724,11700,11675,36
12.12,705-709,13475,13475,36
5.42,800-804,14500,14500,36
14.61,665-669,5000,5000,36
6.62,750-754,13600,13575,36
8.9,715-719,2200,2200,36
9.76,705-709,9000,9000,36
22.47,685-689,27925,27925,60
14.33,670-674,9450,9450,36
20.25,665-669,15175,15175,60
7.49,735-739,10000,10000,36
16.29,680-684,16000,16000,36
15.31,680-684,13200,13200,36
18.75,695-699,20000,20000,60
17.77,665-669,8500,8500,36
14.27,670-674,3000,3000,36
15.31,675-679,10000,10000,36
16.29,700-704,14075,14075,36
19.72,680-684,19000,19000,60
12.84,760-764,25000,11696.88,36
13.11,685-689,9000,9000,36
13.11,685-689,6775,6775,36
15.23,675-679,2200,2200,36
8,790-794,10800,10550,36
14.33,675-679,16800,16800,60
15.62,660-664,3500,3500,36
18.79,660-664,9250,9250,60
7.49,740-744,23400,23400,36
7.9,745-749,10375,10375,36
14.09,695-699,9325,9300,36
21.48,665-669,18000,18000,60
8.9,720-724,5375,5375,36
15.8,690-694,3700,3700,36
18.49,675-679,19125,19125,36
15.31,745-749,1625,1625,36
16.77,730-734,26000,25975,60
18.25,680-684,6650,6650,60
11.49,670-674,1000,1000,36
14.42,720-724,18000,17896.62,36
12.84,680-684,8000,7975,36
15.65,680-684,4575,4575,36
21.97,690-694,35000,34950,60
12.12,695-699,10000,10000,36
18.49,660-664,32350,32350,36
12.98,700-704,16000,16000,36
14.09,690-694,13750,13750,36
11.14,665-669,5600,5600,36
23.76,660-664,21000,20950,60
7.9,730-734,12000,12000,36
13.49,680-684,12000,12000,36
13.99,670-674,3600,3600,36
16.32,705-709,25000,15175,60
9.25,760-764,8400,8400,60
15.8,700-704,24375,24300,60
15.8,675-679,8575,8575,36
12.12,695-699,13800,13800,36
11.49,695-699,17000,17000,36
13.67,675-679,11000,11000,36
14.35,680-684,7800,7800,36
10.59,695-699,3725,3725,36
17.27,665-669,11000,11000,36
15.31,670-674,8500,8500,36
9.76,705-709,10000,10000,36
11.71,725-729,12000,12000,60
12.12,755-759,31500,31425,60
15.31,705-709,19000,19000,60
10.16,695-699,12000,12000,36
10.16,725-729,19125,19125,36
16.07,700-704,6525,6500,36
7.9,725-729,8975,8975,36
6.03,780-784,6000,5975,36
19.22,680-684,20800,20800,60
14.27,680-684,8400,8400,36
18.49,675-679,20000,20000,36
12.12,710-714,18550,18550,36
12.12,685-689,9600,9600,36
6.03,775-779,6000,6000,36
15.31,680-684,14000,14000,36
12.98,705-709,17000,16573.33,36
10.65,700-704,13250,13225,36
9.76,705-709,13000,13000,36
12.12,700-704,20000,20000,36
15.31,670-674,7000,7000,36
17.27,665-669,12000,12000,36
7.62,735-739,4200,4200,36
11.89,715-719,15000,7100,36
6.54,725-729,1775,1775,36
12.12,695-699,10000,10000,36
12.69,730-734,14400,14375,60
8.49,735-739,16000,13150,36
13.48,680-684,10000,9975,36
5.79,745-749,3000,2950,36
7.9,750-754,20000,20000,36
15.8,685-689,6000,6000,36
13.49,680-684,7050,7050,36
12.12,725-729,11325,11325,36
16.29,670-674,2000,2000,36
12.53,690-694,11000,6557.05,36
14.33,700-704,10000,10000,36
16.29,665-669,15000,15000,36
18.64,690-694,23000,22975,60
15.31,675-679,10000,10000,36
12.23,705-709,4000,4000,60
10.74,715-719,13000,12909.48,36
9.33,715-719,5000,525,36
7.51,735-739,6400,6400,36
7.9,745-749,3825,3800,36
17.99,660-664,8000,8000,36
17.27,665-669,8000,7975,36
15.31,660-664,6000,6000,36
8.9,715-719,2500,2500,36
13.11,685-689,10000,10000,36
9.76,730-734,14600,14600,36
21.14,660-664,24000,23800,60
7.9,770-774,2200,2200,36
13.11,680-684,10000,10000,36
9.76,695-699,5000,5000,36
7.51,735-739,12300,12300,36
13.22,690-694,2500,2500,36
12.73,700-704,15000,14825,36
10.74,715-719,1000,1000,36
11.71,700-704,18000,17975,36
15.8,700-704,5000,5000,36
9.99,685-689,6000,5956.31,36
10.37,705-709,2500,2500,36
10.16,710-714,6000,6000,36
7.75,765-769,7000,5525,36
13.06,680-684,4200,4200,36
14.09,685-689,12500,12500,36
16.32,695-699,15400,9458.33,60
17.77,710-714,30000,30000,36
16.29,720-724,20700,20700,60
13.11,685-689,7000,7000,36
7.9,755-759,8000,8000,36
20.99,670-674,18000,18000,60
6.62,745-749,12000,12000,36
12.69,670-674,5500,5500,36
10.99,750-754,18000,17975,60
16.29,660-664,5400,5400,36
12.12,730-734,18000,18000,60
10.74,705-709,3000,3000,36
7.62,775-779,21000,21000,36
17.77,725-729,8000,8000,36
7.88,735-739,1750,1750,36
8,795-799,7500,214.02,36
14.65,685-689,9500,9500,36
14.09,705-709,14500,14500,36
19.99,660-664,4800,4800,36
6.99,740-744,3800,3800,36
17.27,710-714,20675,20675,60
19.05,690-694,27050,27050,60
15.33,675-679,8000,7850,36
15.27,660-664,5300,5300,36
7.9,730-734,5000,5000,36
8.9,700-704,15500,15500,36
7.91,720-724,11200,11200,36
23.76,665-669,16000,16000,60
15.8,690-694,21850,21850,36
8.9,705-709,2400,2375,36
5.79,750-754,2700,2700,36
19.42,705-709,30100,30100,60
14.33,720-724,20000,20000,60
6.62,805-809,6000,6000,36
14.65,685-689,2000,2000,36
12.86,670-674,3200,766.09,36
13.49,740-744,18000,17950,60
15.27,680-684,15000,15000,36
11.99,725-729,5000,5000,60
13.67,700-704,7500,7500,36
17.99,665-669,16000,16000,36
7.9,755-759,20000,20000,36
15.8,665-669,24000,24000,60
15.95,685-689,25000,24925,36
6.03,750-754,3000,3000,36
11.48,735-739,8000,7875,36
10.99,740-744,13000,13000,60
6.03,815-819,8000,8000,36
12.12,695-699,10000,10000,36
12.53,780-784,20000,19925,36
15.31,695-699,21700,21700,36
11.99,680-684,2500,2500,36
14.96,670-674,10000,9869.17,36
7.9,735-739,17000,17000,36
6.62,765-769,10000,10000,36
18.55,665-669,14100,14100,36
20.49,690-694,26500,26500,60
12.12,710-714,12000,12000,36
13.87,640-644,2200,-0.01,36
7.62,730-734,7200,7200,36
8.32,740-744,6500,1196.59,36
17.27,710-714,19750,19750,60
14.91,725-729,21000,20975,60
15.81,665-669,3500,3500,36
7.49,725-729,2650,2650,36
13.11,695-699,15000,15000,36
14.33,695-699,4800,4800,36
17.99,670-674,12000,12000,36
6.62,760-764,6000,6000,36
7.9,790-794,12000,12000,60
12.12,680-684,1550,1550,36
15.31,695-699,35000,35000,36
7.14,730-734,3000,3000,36
10.25,720-724,15000,14775,36
18.49,665-669,14400,14400,36
9.88,755-759,12000,12000,36
19.99,660-664,20000,19975,36
7.66,745-749,11700,11650,36
13.11,660-664,7750,7750,36
19.91,660-664,12000,12000,60
7.14,760-764,6000,5750,36
7.9,720-724,5000,5000,36
16.29,665-669,6000,6000,36
10.36,755-759,25000,15925,60
7.62,810-814,23000,23000,36
13.11,700-704,10000,10000,36
7.88,765-769,4800,4800,60
12.12,705-709,20500,20500,36
18.79,690-694,21000,20950,60
7.9,820-824,7500,7500,36
16.4,675-679,16800,16800,36
11.66,685-689,10000,8851.08,36
16.49,685-689,12000,12000,60
18.25,705-709,17900,17900,60
17.15,670-674,24000,9675,36
14.33,670-674,9600,9600,36
12.68,700-704,8000,8000,60
13.43,690-694,9000,9000,36
14.65,675-679,10000,10000,36
16.29,665-669,8000,8000,36
16.32,680-684,12000,12000,60
11.14,715-719,20000,19950,36
7.88,710-714,4800,4800,36
19.42,685-689,28000,27950,60
11.14,705-709,10000,10000,36
6.62,730-734,7300,7300,36
7.9,730-734,8450,8450,36
21.98,675-679,20000,20000,60
21.98,665-669,16000,16000,60
17.27,695-699,30000,29950,36
15.23,700-704,12000,11530.58,60
11.83,810-814,24500,24450,36
13.75,640-644,3000,2275,36
15.31,680-684,8000,8000,36
8.94,775-779,17000,16786.31,36
11.71,680-684,4200,4200,36
14.27,680-684,1400,1400,36
14.65,670-674,2500,2500,36
15.31,675-679,12000,12000,36
11.71,725-729,2200,2200,36
16.29,660-664,35000,35000,36
14.09,695-699,12000,12000,36
13.99,670-674,9600,9575,36
6.03,815-819,16500,16500,36
11.86,730-734,15000,14450,60
11.49,685-689,1500,1500,36
12.12,705-709,4000,4000,36
10.75,705-709,4325,4250,36
6.91,715-719,3600,3575,36
7.62,730-734,28000,28000,36
13.11,695-699,15000,15000,36
15.31,660-664,5000,5000,36
13.67,710-714,21000,21000,36
17.14,680-684,5000,5000,60
10.16,705-709,14400,14400,36
13.11,680-684,13600,13600,36
7.74,775-779,7500,7400,36
19.05,685-689,18000,17975,36
7.88,755-759,15000,10765.99,36
12.12,680-684,4800,4800,36
13.11,680-684,10000,10000,36
18.25,720-724,26500,26450,60
11.14,745-749,15800,15450,36
8.9,735-739,20000,20000,36
15.31,685-689,7000,7000,36
7.62,760-764,24000,24000,36
14.65,685-689,12000,12000,36
10.59,685-689,10000,550,36
11.99,725-729,23000,22975,36
17.51,695-699,14000,13975,60
18.75,695-699,18000,17975,60
10.16,705-709,7000,7000,36
7.9,775-779,12700,12700,60
13.98,700-704,12000,11975,60
11.14,690-694,4500,4475,36
7.88,715-719,1000,1000,36
15.81,665-669,1000,1000,36
12.12,685-689,10550,10525,36
14.09,690-694,17825,17825,36
14.09,720-724,10750,10750,36
